Country Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,1.154469392,4.514062033,-0.364695779,-2.164459409,0.465289865,7.519472373,1.176690484,0.380390971,2.355119443,-3.654626242,-6.881302064,-5.653502086,,,,,,
Andorra,3.194787965,4.099081148,1.165787064,6.066780597,6.426845139,12.02391974,8.069504291,7.839704496,4.585310593,0.078039378,-8.594256008,-3.817986024,-5.347977181,-4.802675037,-1.760010328,-0.063514313,,
Afghanistan,,,,,,8.444163227,1.055555787,11.17527024,5.554137623,13.74020499,3.611368392,21.02064874,8.433290482,6.113685169,14.43474129,1.959122893,1.312530908,1.519911264
Angola,6.804762116,3.239799671,3.012076171,4.220965147,-6.940461553,5.247494541,10.87957748,18.26145032,20.73512488,22.5930543,13.81714581,2.412869693,3.407654794,3.918596986,5.155440545,6.81358577,4.804472704,2.997704073
Albania,9.00885254,13.50117338,6.666620515,7.940331421,4.231371012,5.77349057,5.709556581,5.720819953,5.431012734,5.900000009,7.529999989,3.350000009,3.709999994,2.550000005,1.419999998,1.109999993,2,2.56
Arab World,5.28330287,3.047915893,5.132354959,2.201414439,1.498554438,4.233616027,9.738825709,6.151042334,7.312090782,5.650083958,6.30550696,1.515299831,4.615798817,3.330674479,6.6410913,2.903579148,2.141186166,2.971648322
United Arab Emirates,0.291994344,2.90221365,10.8527042,1.399085028,2.433456814,8.800540817,9.566436643,4.855141195,9.837319773,3.184390174,3.191836271,-5.242921906,1.635449055,5.207798911,6.893595623,4.321360255,4.570289721,3.182678195
Argentina,3.850178866,-3.385457054,-0.788998929,-4.408839696,-10.89448481,8.837040776,9.029573321,8.889308141,8.142535979,9.01574459,4.0938615,-6.013355331,10.35356745,6.14748634,-1.05287445,2.302484158,-2.558477446,2.372296017
Armenia,7.3,3.3,5.9,9.556641496,13.18630053,14.04079506,10.46784186,13.86571125,13.19800352,13.74920196,6.900000002,-14.14998864,2.199999999,4.699999999,7.200000003,3.300000002,3.499999999,3.000000001
American Samoa,,,,,,,,,,,,,,,,,,
